"","Pedon","Horizon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Si","Ca","P","tau_Fe","tau_Si","tau_Ca","tau_P"
"20","52_4_X4.1","Oa",9,11,10,"X4.1_RF1",3871.79390046,192,25,20.1655932315625,34901.5949739,331085.4238179,6861.080304,916.5002847,-0.0351405310307924,0.156571266622103,-0.274626320297846,0.307619661864822
"21","52_4_X4.1","E",16,26,21,"X4.1_RF2",3787.88505432,230,25,16.4690654535652,34621.8226695,321830.1769005,13007.464743,611.0001898,-0.0216727366369335,0.14914423112118,0.405650617582109,-0.108942719868486
"22","52_4_X4.1","Bhs",26,31,28.5,"X4.1_RF3",2697.0700545,148,29,18.2234463141892,23710.7027979,342537.6232864,4288.17519,611.0001898,-0.0590138742042187,0.717752628423981,-0.349178615156122,0.251440446762482
"23","52_4_X4.1","Bhs",26,31,28.5,"X4.1_RF4",1845.99461508,130,31,14.1999585775385,13708.8429156,338985.1042676,3502.0097385,523.7144484,-0.205120328169292,1.48367493105914,-0.223451756720373,0.567202785834277
"24","52_4_X4.1","Bs1",31,36,33.5,"X4.1_RF5",575.37494496,61,10,9.43237614688524,6644.5922295,333703.0694107,5288.749401,611.0001898,0.236085203962932,6.84429330200865,2.76256113112867,4.86612709419914
"25","52_4_X4.1","Bs2",36,54.5,45.25,"X4.1_RF7",4543.06466958,238,21,19.088507015042,43784.3656386,311453.0818719,12578.647224,916.5002847,0.0315758424851595,-0.0727682749660388,0.133356501311238,0.114409368818833
"26","52_4_X4.1","C",87,91,89,"X4.1_RF8",3380.32780164,196,22,17.2465704165306,30005.5796469,326411.0566879,7075.4890635,960.1431554,-0.049889267637003,0.306022361506651,-0.143200570484789,0.569055271396729
"27","52_4_X4.1","E",16,26,21,"X4.1_RF17",2295.50629083,148,22,15.5101776407432,23221.1012652,338143.7181842,4288.17519,523.7144484,0.0827678334672683,0.992358125387863,-0.235327354622076,0.260309289913727
"28","52_4_X4.1","E",16,26,21,"X4.1_RF16",1282.60664814,87,29,14.7426051510345,18884.630547,346417.3480043,6789.6107175,130.9286121,0.575963034270497,2.65300876943802,1.16687026495917,-0.436099932199816
